Municipio		Superficie		Autonomía		CP		Provincia		CPJ		Partido_Judicial
Sordillos		9,71		Castilla y León		09		Burgos		0901		Burgos
Sotillo de la Ribera		42,46		Castilla y León		09		Burgos		0902		Aranda de Duero
Sotragero		5,49		Castilla y León		09		Burgos		0901		Burgos
Sotresgudo		172,19		Castilla y León		09		Burgos		0901		Burgos
Susinos del Páramo		11,45		Castilla y León		09		Burgos		0901		Burgos
Tamarón		15,66		Castilla y León		09		Burgos		0901		Burgos
Tardajos		12,80		Castilla y León		09		Burgos		0901		Burgos
Tejada		22,74		Castilla y León		09		Burgos		0905		Lerma
Terradillos de Esgueva		14,39		Castilla y León		09		Burgos		0902		Aranda de Duero
Tinieblas de la Sierra		29,38		Castilla y León		09		Burgos		0907		Salas de los Infantes
Tobar		11,96		Castilla y León		09		Burgos		0901		Burgos
Tordómar		30,06		Castilla y León		09		Burgos		0905		Lerma
Torrecilla del Monte		14,93		Castilla y León		09		Burgos		0905		Lerma
Torregalindo		15,36		Castilla y León		09		Burgos		0902		Aranda de Duero
Torrelara		12,51		Castilla y León		09		Burgos		0907		Salas de los Infantes
Torrepadre		28,56		Castilla y León		09		Burgos		0905		Lerma
Torresandino		93,20		Castilla y León		09		Burgos		0902		Aranda de Duero
Tórtoles de Esgueva		79,20		Castilla y León		09		Burgos		0902		Aranda de Duero
Tosantos		5,74		Castilla y León		09		Burgos		0906		Briviesca
Trespaderne		36,81		Castilla y León		09		Burgos		0903		Villarcayo
Tubilla del Agua		78,69		Castilla y León		09		Burgos		0901		Burgos
Tubilla del Lago		23,21		Castilla y León		09		Burgos		0902		Aranda de Duero
Úrbel del Castillo		30,83		Castilla y León		09		Burgos		0901		Burgos
Vadocondes		25,69		Castilla y León		09		Burgos		0902		Aranda de Duero
Valdeande		30,98		Castilla y León		09		Burgos		0902		Aranda de Duero
Valdezate		20,47		Castilla y León		09		Burgos		0902		Aranda de Duero
Valdorros		16,64		Castilla y León		09		Burgos		0901		Burgos
Valmala		16,97		Castilla y León		09		Burgos		0906		Briviesca
Vallarta de Bureba		19,12		Castilla y León		09		Burgos		0906		Briviesca
Valle de Manzanedo		70,44		Castilla y León		09		Burgos		0903		Villarcayo
Valle de Mena		263,18		Castilla y León		09		Burgos		0903		Villarcayo
Valle de Oca		38,47		Castilla y León		09		Burgos		0906		Briviesca
Valle de Tobalina		157,49		Castilla y León		09		Burgos		0903		Villarcayo
Valle de Valdebezana		156,60		Castilla y León		09		Burgos		0903		Villarcayo
Valle de Valdelaguna		92,66		Castilla y León		09		Burgos		0907		Salas de los Infantes
Valle de Valdelucio		96,04		Castilla y León		09		Burgos		0901		Burgos
Valle de Zamanzas		19,27		Castilla y León		09		Burgos		0903		Villarcayo
Vallejera		18,32		Castilla y León		09		Burgos		0901		Burgos
Valles de Palenzuela		20,87		Castilla y León		09		Burgos		0901		Burgos
Valluércanes		27,20		Castilla y León		09		Burgos		0904		Miranda de Ebro
Vid y Barrios, La		37,58		Castilla y León		09		Burgos		0902		Aranda de Duero
Vid de Bureba, La		9,74		Castilla y León		09		Burgos		0906		Briviesca
Vileña		6,35		Castilla y León		09		Burgos		0906		Briviesca
Viloria de Rioja		6,95		Castilla y León		09		Burgos		0906		Briviesca
Vilviestre del Pinar		33,90		Castilla y León		09		Burgos		0907		Salas de los Infantes
Villadiego		327,96		Castilla y León		09		Burgos		0901		Burgos
Villaescusa de Roa		17,50		Castilla y León		09		Burgos		0902		Aranda de Duero
Villaescusa la Sombría		16,24		Castilla y León		09		Burgos		0906		Briviesca
Villaespasa		19,49		Castilla y León		09		Burgos		0907		Salas de los Infantes
Villafranca Montes de Oca		52,45		Castilla y León		09		Burgos		0906		Briviesca
Villafruela		52,01		Castilla y León		09		Burgos		0905		Lerma
Villagalijo		22,07		Castilla y León		09		Burgos		0906		Briviesca
Villagonzalo Pedernales		13,82		Castilla y León		09		Burgos		0901		Burgos
Villahoz		50,53		Castilla y León		09		Burgos		0905		Lerma
Villalba de Duero		13,75		Castilla y León		09		Burgos		0902		Aranda de Duero
Villalbilla de Burgos		14,44		Castilla y León		09		Burgos		0901		Burgos
Villalbilla de Gumiel		26,41		Castilla y León		09		Burgos		0902		Aranda de Duero
Villaldemiro		13,43		Castilla y León		09		Burgos		0901		Burgos
Villalmanzo		23,91		Castilla y León		09		Burgos		0905		Lerma
Villamayor de los Montes		40,71		Castilla y León		09		Burgos		0905		Lerma
Villamayor de Treviño		18,75		Castilla y León		09		Burgos		0901		Burgos
Villambistia		13,07		Castilla y León		09		Burgos		0906		Briviesca
Villamedianilla		6,76		Castilla y León		09		Burgos		0901		Burgos
Villamiel de la Sierra		17,91		Castilla y León		09		Burgos		0901		Burgos
Villangómez		38,35		Castilla y León		09		Burgos		0905		Lerma
Villanueva de Argaño		7,92		Castilla y León		09		Burgos		0901		Burgos
Villanueva de Carazo		7,38		Castilla y León		09		Burgos		0907		Salas de los Infantes
Villanueva de Gumiel		22,33		Castilla y León		09		Burgos		0902		Aranda de Duero
Villanueva de Teba		6,12		Castilla y León		09		Burgos		0904		Miranda de Ebro
Villaquirán de la Puebla		11,48		Castilla y León		09		Burgos		0901		Burgos
Villaquirán de los Infantes		12,98		Castilla y León		09		Burgos		0901		Burgos
Villariezo		10,24		Castilla y León		09		Burgos		0901		Burgos
Villasandino		43,71		Castilla y León		09		Burgos		0901		Burgos
Villasur de Herreros		87,80		Castilla y León		09		Burgos		0901		Burgos
Villatuelda		15,30		Castilla y León		09		Burgos		0902		Aranda de Duero
Villaverde del Monte		37,31		Castilla y León		09		Burgos		0905		Lerma
Villaverde-Mogina		13,55		Castilla y León		09		Burgos		0905		Lerma
Villayerno Morquillas		10,49		Castilla y León		09		Burgos		0901		Burgos
Villazopeque		11,73		Castilla y León		09		Burgos		0901		Burgos
Villegas		24,59		Castilla y León		09		Burgos		0901		Burgos
Villoruebo		25,75		Castilla y León		09		Burgos		0907		Salas de los Infantes
Vizcaínos		11,48		Castilla y León		09		Burgos		0907		Salas de los Infantes
Zael		18,76		Castilla y León		09		Burgos		0905		Lerma
Zarzosa de Río Pisuerga		10,81		Castilla y León		09		Burgos		0901		Burgos
Zazuar		22,58		Castilla y León		09		Burgos		0902		Aranda de Duero
Zuñeda		12,14		Castilla y León		09		Burgos		0906		Briviesca
Quintanilla del Agua y Tordueles		35,79		Castilla y León		09		Burgos		0905		Lerma
Valle de Santibáñez		105,86		Castilla y León		09		Burgos		0901		Burgos
Villarcayo de Merindad de Castilla la Vieja		151,27		Castilla y León		09		Burgos		0903		Villarcayo
Valle de las Navas		111,83		Castilla y León		09		Burgos		0901		Burgos
Valle de Sedano		264,06		Castilla y León		09		Burgos		0901		Burgos
Merindad de Río Ubierna		275,23		Castilla y León		09		Burgos		0901		Burgos
Alfoz de Quintanadueñas		41,51		Castilla y León		09		Burgos		0901		Burgos
Valle de Losa		227,66		Castilla y León		09		Burgos		0903		Villarcayo
Abadía		45,08		Extremadura		10		Cáceres		1004		Plasencia
Abertura		62,71		Extremadura		10		Cáceres		1007		Logrosán
Acebo		57,02		Extremadura		10		Cáceres		1002		Coria
Acehúche		91,06		Extremadura		10		Cáceres		1001		Cáceres
Aceituna		40,08		Extremadura		10		Cáceres		1004		Plasencia
Ahigal		52,07		Extremadura		10		Cáceres		1004		Plasencia
Albalá		38,49		Extremadura		10		Cáceres		1001		Cáceres
Alcántara		551,99		Extremadura		10		Cáceres		1001		Cáceres
Alcollarín		79,92		Extremadura		10		Cáceres		1007		Logrosán
Alcuéscar		108,92		Extremadura		10		Cáceres		1001		Cáceres
Aldeacentenera		110,56		Extremadura		10		Cáceres		1005		Trujillo
Aldea del Cano		28,69		Extremadura		10		Cáceres		1001		Cáceres
Aldea del Obispo, La		37,85		Extremadura		10		Cáceres		1005		Trujillo
Aldeanueva de la Vera		37,60		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Aldeanueva del Camino		20,05		Extremadura		10		Cáceres		1004		Plasencia
Aldehuela de Jerte		11,76		Extremadura		10		Cáceres		1004		Plasencia
Alía		599,51		Extremadura		10		Cáceres		1007		Logrosán
Aliseda		80,51		Extremadura		10		Cáceres		1001		Cáceres
Almaraz		33,91		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Almoharín		93,68		Extremadura		10		Cáceres		1001		Cáceres
Arroyo de la Luz		128,06		Extremadura		10		Cáceres		1001		Cáceres
Arroyomolinos de la Vera		23,19		Extremadura		10		Cáceres		1004		Plasencia
Arroyomolinos		115,12		Extremadura		10		Cáceres		1001		Cáceres
Baños de Montemayor		21,98		Extremadura		10		Cáceres		1004		Plasencia
Barrado		21,29		Extremadura		10		Cáceres		1004		Plasencia
Belvís de Monroy		44,98		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Benquerencia		13,31		Extremadura		10		Cáceres		1001		Cáceres
Berrocalejo		14,28		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Berzocana		133,59		Extremadura		10		Cáceres		1007		Logrosán
Bohonal de Ibor		64,60		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Botija		18,82		Extremadura		10		Cáceres		1001		Cáceres
Brozas		398,84		Extremadura		10		Cáceres		1001		Cáceres
Cabañas del Castillo		105,27		Extremadura		10		Cáceres		1007		Logrosán
Cabezabellosa		33,56		Extremadura		10		Cáceres		1004		Plasencia
Cabezuela del Valle		56,57		Extremadura		10		Cáceres		1004		Plasencia
Cabrero		6,63		Extremadura		10		Cáceres		1004		Plasencia
Cáceres		1750,33		Extremadura		10		Cáceres		1001		Cáceres
Cachorrilla		41,38		Extremadura		10		Cáceres		1002		Coria
Cadalso		7,35		Extremadura		10		Cáceres		1002		Coria
Calzadilla		76,34		Extremadura		10		Cáceres		1002		Coria
Caminomorisco		147,06		Extremadura		10		Cáceres		1004		Plasencia
Campillo de Deleitosa		25,60		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Campo Lugar		73,06		Extremadura		10		Cáceres		1007		Logrosán
Cañamero		151,45		Extremadura		10		Cáceres		1007		Logrosán
Cañaveral		86,48		Extremadura		10		Cáceres		1001		Cáceres
Carbajo		27,94		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Carcaboso		20,29		Extremadura		10		Cáceres		1004		Plasencia
Carrascalejo		48,48		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Casar de Cáceres		130,30		Extremadura		10		Cáceres		1001		Cáceres
Casar de Palomero		36,91		Extremadura		10		Cáceres		1004		Plasencia
Casares de las Hurdes		20,75		Extremadura		10		Cáceres		1004		Plasencia
Casas de Don Antonio		31,34		Extremadura		10		Cáceres		1001		Cáceres
Casas de Don Gómez		31,16		Extremadura		10		Cáceres		1002		Coria
Casas del Castañar		24,63		Extremadura		10		Cáceres		1004		Plasencia
Casas del Monte		27,61		Extremadura		10		Cáceres		1004		Plasencia
Casas de Millán		152,91		Extremadura		10		Cáceres		1001		Cáceres
Casas de Miravete		50,16		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Casatejada		111,82		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Casillas de Coria		61,97		Extremadura		10		Cáceres		1002		Coria
Castañar de Ibor		146,97		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Ceclavín		159,49		Extremadura		10		Cáceres		1001		Cáceres
Cedillo		61,56		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Cerezo		18,14		Extremadura		10		Cáceres		1004		Plasencia
Cilleros		208,94		Extremadura		10		Cáceres		1002		Coria
Collado		44,94		Extremadura		10		Cáceres		1004		Plasencia
Conquista de la Sierra		41,77		Extremadura		10		Cáceres		1005		Trujillo
Coria		103,46		Extremadura		10		Cáceres		1002		Coria
Cuacos de Yuste		52,63		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Cumbre, La		113,52		Extremadura		10		Cáceres		1005		Trujillo
Deleitosa		144,21		Extremadura		10		Cáceres		1005		Trujillo
Descargamaría		52,92		Extremadura		10		Cáceres		1002		Coria
Eljas		32,55		Extremadura		10		Cáceres		1002		Coria
Escurial		100,71		Extremadura		10		Cáceres		1005		Trujillo
Fresnedoso de Ibor		54,66		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Galisteo		65,79		Extremadura		10		Cáceres		1004		Plasencia
Garciaz		150,28		Extremadura		10		Cáceres		1005		Trujillo
Garganta, La		24,08		Extremadura		10		Cáceres		1004		Plasencia
Garganta la Olla		48,06		Extremadura		10		Cáceres		1004		Plasencia
Gargantilla		20,87		Extremadura		10		Cáceres		1004		Plasencia
Gargüera		51,60		Extremadura		10		Cáceres		1004		Plasencia
Garrovillas de Alconétar		206,85		Extremadura		10		Cáceres		1001		Cáceres
Garvín		38,27		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Gata		94,18		Extremadura		10		Cáceres		1002		Coria
Gordo, El		78,60		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Granja, La		14,94		Extremadura		10		Cáceres		1004		Plasencia
Guadalupe		68,19		Extremadura		10		Cáceres		1007		Logrosán
Guijo de Coria		74,75		Extremadura		10		Cáceres		1002		Coria
Guijo de Galisteo		62,28		Extremadura		10		Cáceres		1002		Coria
Guijo de Granadilla		73,03		Extremadura		10		Cáceres		1004		Plasencia
Guijo de Santa Bárbara		34,54		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Herguijuela		41,97		Extremadura		10		Cáceres		1005		Trujillo
Hernán-Pérez		35,76		Extremadura		10		Cáceres		1002		Coria
Herrera de Alcántara		121,61		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Herreruela		113,72		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Hervás		59,78		Extremadura		10		Cáceres		1004		Plasencia
Higuera		40,53		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Hinojal		63,45		Extremadura		10		Cáceres		1001		Cáceres
Holguera		37,19		Extremadura		10		Cáceres		1002		Coria
Hoyos		15,09		Extremadura		10		Cáceres		1002		Coria
Huélaga		10,73		Extremadura		10		Cáceres		1002		Coria
Ibahernando		76,95		Extremadura		10		Cáceres		1005		Trujillo
Jaraicejo		177,48		Extremadura		10		Cáceres		1005		Trujillo
Jaraíz de la Vera		62,53		Extremadura		10		Cáceres		1004		Plasencia
Jarandilla de la Vera		61,51		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Jarilla		28,47		Extremadura		10		Cáceres		1004		Plasencia
Jerte		58,95		Extremadura		10		Cáceres		1004		Plasencia
Ladrillar		53,03		Extremadura		10		Cáceres		1004		Plasencia
Logrosán		365,31		Extremadura		10		Cáceres		1007		Logrosán
Losar de la Vera		82,08		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Madrigal de la Vera		41,63		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Madrigalejo		100,81		Extremadura		10		Cáceres		1007		Logrosán
Madroñera		132,91		Extremadura		10		Cáceres		1005		Trujillo
Majadas		51,96		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Malpartida de Cáceres		32,16		Extremadura		10		Cáceres		1001		Cáceres
Malpartida de Plasencia		372,65		Extremadura		10		Cáceres		1004		Plasencia
Marchagaz		9,47		Extremadura		10		Cáceres		1004		Plasencia
Mata de Alcántara		33,50		Extremadura		10		Cáceres		1001		Cáceres
Membrío		207,74		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Mesas de Ibor		48,75		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Miajadas		120,75		Extremadura		10		Cáceres		1005		Trujillo
Millanes		17,61		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Mirabel		49,30		Extremadura		10		Cáceres		1004		Plasencia
Mohedas de Granadilla		58,72		Extremadura		10		Cáceres		1004		Plasencia
Monroy		204,45		Extremadura		10		Cáceres		1001		Cáceres
Montánchez		112,66		Extremadura		10		Cáceres		1001		Cáceres
Montehermoso		96,45		Extremadura		10		Cáceres		1004		Plasencia
Moraleja		124,54		Extremadura		10		Cáceres		1002		Coria
Morcillo		16,23		Extremadura		10		Cáceres		1002		Coria
Navaconcejo		51,40		Extremadura		10		Cáceres		1004		Plasencia
Navalmoral de la Mata		155,96		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Navalvillar de Ibor		55,53		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Navas del Madroño		112,29		Extremadura		10		Cáceres		1001		Cáceres
Navezuelas		59,99		Extremadura		10		Cáceres		1007		Logrosán
Nuñomoral		94,78		Extremadura		10		Cáceres		1004		Plasencia
Oliva de Plasencia		88,73		Extremadura		10		Cáceres		1004		Plasencia
Palomero		20,27		Extremadura		10		Cáceres		1004		Plasencia
Pasarón de la Vera		38,97		Extremadura		10		Cáceres		1004		Plasencia
Pedroso de Acim		33,23		Extremadura		10		Cáceres		1001		Cáceres
Peraleda de la Mata		92,06		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Peraleda de San Román		61,90		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Perales del Puerto		36,28		Extremadura		10		Cáceres		1002		Coria
Pescueza		52,06		Extremadura		10		Cáceres		1002		Coria
Pesga, La		19,88		Extremadura		10		Cáceres		1004		Plasencia
Piedras Albas		4,54		Extremadura		10		Cáceres		1001		Cáceres
Pinofranqueado		146,84		Extremadura		10		Cáceres		1004		Plasencia
Piornal		36,39		Extremadura		10		Cáceres		1004		Plasencia
Plasencia		217,94		Extremadura		10		Cáceres		1004		Plasencia
Plasenzuela		36,67		Extremadura		10		Cáceres		1005		Trujillo
Portaje		100,55		Extremadura		10		Cáceres		1002		Coria
Portezuelo		126,11		Extremadura		10		Cáceres		1001		Cáceres
Pozuelo de Zarzón		47,43		Extremadura		10		Cáceres		1002		Coria
Puerto de Santa Cruz		33,72		Extremadura		10		Cáceres		1005		Trujillo
Rebollar		11,51		Extremadura		10		Cáceres		1004		Plasencia
Riolobos		49,49		Extremadura		10		Cáceres		1002		Coria
Robledillo de Gata		31,07		Extremadura		10		Cáceres		1002		Coria
Robledillo de la Vera		12,83		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Robledillo de Trujillo		44,78		Extremadura		10		Cáceres		1005		Trujillo
Robledollano		61,74		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Romangordo		39,07		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Ruanes		15,11		Extremadura		10		Cáceres		1005		Trujillo
Salorino		157,65		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Salvatierra de Santiago		33,40		Extremadura		10		Cáceres		1001		Cáceres
San Martín de Trevejo		24,76		Extremadura		10		Cáceres		1002		Coria
Santa Ana		34,99		Extremadura		10		Cáceres		1005		Trujillo
Santa Cruz de la Sierra		44,60		Extremadura		10		Cáceres		1005		Trujillo
Santa Cruz de Paniagua		83,81		Extremadura		10		Cáceres		1004		Plasencia
Santa Marta de Magasca		39,68		Extremadura		10		Cáceres		1005		Trujillo
Santiago de Alcántara		95,67		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Santiago del Campo		73,33		Extremadura		10		Cáceres		1001		Cáceres
Santibáñez el Alto		99,07		Extremadura		10		Cáceres		1002		Coria
Santibáñez el Bajo		46,15		Extremadura		10		Cáceres		1004		Plasencia
Saucedilla		60,41		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Segura de Toro		14,73		Extremadura		10		Cáceres		1004		Plasencia
Serradilla		259,19		Extremadura		10		Cáceres		1004		Plasencia
Serrejón		124,15		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Sierra de Fuentes		25,21		Extremadura		10		Cáceres		1001		Cáceres
Talaván		98,48		Extremadura		10		Cáceres		1001		Cáceres
Talaveruela de la Vera		21,34		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Talayuela		228,64		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Tejeda de Tiétar		52,83		Extremadura		10		Cáceres		1004		Plasencia
Toril		149,76		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Tornavacas		76,60		Extremadura		10		Cáceres		1004		Plasencia
Torno, El		22,26		Extremadura		10		Cáceres		1004		Plasencia
Torrecilla de los Ángeles		43,29		Extremadura		10		Cáceres		1002		Coria
Torrecillas de la Tiesa		139,55		Extremadura		10		Cáceres		1005		Trujillo
Torre de Don Miguel		11,55		Extremadura		10		Cáceres		1002		Coria
Torre de Santa María		19,07		Extremadura		10		Cáceres		1001		Cáceres
Torrejoncillo		94,54		Extremadura		10		Cáceres		1002		Coria
Torrejón el Rubio		221,88		Extremadura		10		Cáceres		1004		Plasencia
Torremenga		12,15		Extremadura		10		Cáceres		1004		Plasencia
Torremocha		63,83		Extremadura		10		Cáceres		1001		Cáceres
Torreorgaz		28,78		Extremadura		10		Cáceres		1001		Cáceres
Torrequemada		30,81		Extremadura		10		Cáceres		1001		Cáceres
Trujillo		649,53		Extremadura		10		Cáceres		1005		Trujillo
Valdastillas		8,10		Extremadura		10		Cáceres		1004		Plasencia
Valdecañas de Tajo		18,81		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Valdefuentes		27,14		Extremadura		10		Cáceres		1001		Cáceres
Valdehúncar		25,60		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Valdelacasa de Tajo		72,90		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Valdemorales		9,89		Extremadura		10		Cáceres		1001		Cáceres
Valdeobispo		42,10		Extremadura		10		Cáceres		1004		Plasencia
Valencia de Alcántara		594,83		Extremadura		10		Cáceres		1006		Valencia de Alcántara
Valverde de la Vera		46,95		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Valverde del Fresno		196,97		Extremadura		10		Cáceres		1002		Coria
Viandar de la Vera		28,00		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Villa del Campo		56,92		Extremadura		10		Cáceres		1002		Coria
Villa del Rey		57,29		Extremadura		10		Cáceres		1001		Cáceres
Villamesías		46,47		Extremadura		10		Cáceres		1005		Trujillo
Villamiel		73,09		Extremadura		10		Cáceres		1002		Coria
Villanueva de la Sierra		43,62		Extremadura		10		Cáceres		1002		Coria
Villanueva de la Vera		129,66		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Villar del Pedroso		242,40		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Villar de Plasencia		24,99		Extremadura		10		Cáceres		1004		Plasencia
Villasbuenas de Gata		46,83		Extremadura		10		Cáceres		1002		Coria
Zarza de Granadilla		133,56		Extremadura		10		Cáceres		1004		Plasencia
Zarza de Montánchez		36,82		Extremadura		10		Cáceres		1001		Cáceres
Zarza la Mayor		170,28		Extremadura		10		Cáceres		1001		Cáceres
Zorita		186,96		Extremadura		10		Cáceres		1007		Logrosán
Rosalejo		40,20		Extremadura		10		Cáceres		1003		Navalmoral de la Mata
Vegaviana		23,06		Extremadura		10		Cáceres		1002		Coria
Alagón del Río		13,73		Extremadura		10		Cáceres		1004		Plasencia
Alcalá de los Gazules		479,59		Andalucía		11		Cádiz		1101		Chiclana de la Frontera
Alcalá del Valle		46,89		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Algar		26,60		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Algeciras		85,80		Andalucía		11		Cádiz		1103		Algeciras
Algodonales		134,16		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Arcos de la Frontera		527,54		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Barbate		143,36		Andalucía		11		Cádiz		1114		Barbate
Barrios, Los		331,33		Andalucía		11		Cádiz		1103		Algeciras
Benaocaz		69,39		Andalucía		11		Cádiz		1115		Ubrique
Bornos		54,31		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Bosque, El		30,75		Andalucía		11		Cádiz		1115		Ubrique
Cádiz		13,30		Andalucía		11		Cádiz		1104		Cádiz
Castellar de la Frontera		178,84		Andalucía		11		Cádiz		1105		San Roque
Conil de la Frontera		88,51		Andalucía		11		Cádiz		1101		Chiclana de la Frontera
Chiclana de la Frontera		205,45		Andalucía		11		Cádiz		1101		Chiclana de la Frontera
Chipiona		32,92		Andalucía		11		Cádiz		1106		Sanlúcar de Barrameda
Espera		123,44		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Gastor, El		27,55		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Grazalema		122,41		Andalucía		11		Cádiz		1115		Ubrique
Jerez de la Frontera		1188,23		Andalucía		11		Cádiz		1107		Jerez de la Frontera
Jimena de la Frontera		345,66		Andalucía		11		Cádiz		1105		San Roque
Línea de la Concepción, La		19,27		Andalucía		11		Cádiz		1108		Línea de la Concepción, La
Medina-Sidonia		487,41		Andalucía		11		Cádiz		1101		Chiclana de la Frontera
Olvera		193,57		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Paterna de Rivera		14,01		Andalucía		11		Cádiz		1101		Chiclana de la Frontera
Prado del Rey		48,58		Andalucía		11		Cádiz		1115		Ubrique
Puerto de Santa María, El		159,34		Andalucía		11		Cádiz		1110		Puerto de Santa María, El
Puerto Real		195,96		Andalucía		11		Cádiz		1113		Puerto Real
Puerto Serrano		79,85		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Rota		84,01		Andalucía		11		Cádiz		1111		Rota
San Fernando		30,65		Andalucía		11		Cádiz		1109		San Fernando
Sanlúcar de Barrameda		170,93		Andalucía		11		Cádiz		1106		Sanlúcar de Barrameda
San Roque		146,88		Andalucía		11		Cádiz		1105		San Roque
Setenil de las Bodegas		82,15		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Tarifa		419,67		Andalucía		11		Cádiz		1103		Algeciras
Torre Alháquime		17,36		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Trebujena		70,00		Andalucía		11		Cádiz		1106		Sanlúcar de Barrameda
Ubrique		69,75		Andalucía		11		Cádiz		1115		Ubrique
Vejer de la Frontera		262,88		Andalucía		11		Cádiz		1114		Barbate
Villaluenga del Rosario		59,46		Andalucía		11		Cádiz		1115		Ubrique
Villamartín		211,88		Andalucía		11		Cádiz		1102		Arcos de la Frontera
Zahara		72,48		Andalucía		11		Cádiz		1115		Ubrique
Benalup-Casas Viejas		60,70		Andalucía		11		Cádiz		1101		Chiclana de la Frontera
San José del Valle		223,85		Andalucía		11		Cádiz		1107		Jerez de la Frontera
Atzeneta del Maestrat		71,16		Comunidad Valenciana		12		Castellón/Castelló		1201		Castellón de la Plana
Aín		12,29		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Albocàsser		82,29		Comunidad Valenciana		12		Castellón/Castelló		1201		Castellón de la Plana
Alcalà de Xivert		167,56		Comunidad Valenciana		12		Castellón/Castelló		1203		Vinaròs
Alcora, l		94,90		Comunidad Valenciana		12		Castellón/Castelló		1201		Castellón de la Plana
Alcudia de Veo		30,66		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Alfondeguilla		28,33		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Algimia de Almonacid		20,33		Comunidad Valenciana		12		Castellón/Castelló		1202		Segorbe
Almazora/Almassora		32,98		Comunidad Valenciana		12		Castellón/Castelló		1201		Castellón de la Plana
Almedíjar		20,90		Comunidad Valenciana		12		Castellón/Castelló		1202		Segorbe
Almenara		27,63		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Altura		129,56		Comunidad Valenciana		12		Castellón/Castelló		1202		Segorbe
Arañuel		19,16		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Ares del Maestrat		118,67		Comunidad Valenciana		12		Castellón/Castelló		1203		Vinaròs
Argelita		15,47		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Artana		36,33		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Ayódar		24,36		Comunidad Valenciana		12		Castellón/Castelló		1204		Nules
Azuébar		23,40		Comunidad Valenciana		12		Castellón/Castelló		1202		Segorbe
