Municipio		Superficie		Autonomía		CP		Provincia		CPJ		Partido_Judicial
Casas de Ves		125,09		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Casas-Ibáñez		103,22		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Caudete		141,61		Castilla-La Mancha		02		Albacete		0203		Almansa
Cenizate		63,26		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Corral-Rubio		94,76		Castilla-La Mancha		02		Albacete		0201		Albacete
Cotillas		14,47		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Chinchilla de Monte-Aragón		680,02		Castilla-La Mancha		02		Albacete		0201		Albacete
Elche de la Sierra		239,49		Castilla-La Mancha		02		Albacete		0204		Hellín
Férez		126,14		Castilla-La Mancha		02		Albacete		0204		Hellín
Fuensanta		23,96		Castilla-La Mancha		02		Albacete		0205		Roda, La
Fuente-Álamo		133,39		Castilla-La Mancha		02		Albacete		0203		Almansa
Fuentealbilla		108,29		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Gineta, La		136,75		Castilla-La Mancha		02		Albacete		0201		Albacete
Golosalvo		28,18		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Hellín		781,19		Castilla-La Mancha		02		Albacete		0204		Hellín
Herrera, La		63,40		Castilla-La Mancha		02		Albacete		0201		Albacete
Higueruela		205,45		Castilla-La Mancha		02		Albacete		0203		Almansa
Hoya-Gonzalo		114,57		Castilla-La Mancha		02		Albacete		0201		Albacete
Jorquera		67,97		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Letur		263,56		Castilla-La Mancha		02		Albacete		0204		Hellín
Lezuza		360,90		Castilla-La Mancha		02		Albacete		0205		Roda, La
Liétor		311,57		Castilla-La Mancha		02		Albacete		0204		Hellín
Madrigueras		73,31		Castilla-La Mancha		02		Albacete		0205		Roda, La
Mahora		108,14		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Masegoso		103,87		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Minaya		69,83		Castilla-La Mancha		02		Albacete		0205		Roda, La
Molinicos		143,59		Castilla-La Mancha		02		Albacete		0204		Hellín
Montalvos		24,78		Castilla-La Mancha		02		Albacete		0205		Roda, La
Montealegre del Castillo		177,79		Castilla-La Mancha		02		Albacete		0203		Almansa
Motilleja		23,82		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Munera		229,43		Castilla-La Mancha		02		Albacete		0206		Villarrobledo
Navas de Jorquera		42,26		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Nerpio		435,78		Castilla-La Mancha		02		Albacete		0204		Hellín
Ontur		54,38		Castilla-La Mancha		02		Albacete		0204		Hellín
Ossa de Montiel		243,50		Castilla-La Mancha		02		Albacete		0206		Villarrobledo
Paterna del Madera		112,34		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Peñascosa		189,26		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Peñas de San Pedro		158,75		Castilla-La Mancha		02		Albacete		0201		Albacete
Pétrola		74,61		Castilla-La Mancha		02		Albacete		0201		Albacete
Povedilla		49,43		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Pozohondo		136,54		Castilla-La Mancha		02		Albacete		0201		Albacete
Pozo-Lorente		80,96		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Pozuelo		133,78		Castilla-La Mancha		02		Albacete		0201		Albacete
Recueja, La		29,74		Castilla-La Mancha		02		Albacete		0207		Casas-Ibáñez
Riópar		80,92		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Robledo		120,08		Castilla-La Mancha		02		Albacete		0202		Alcaraz
Roda, La		398,79		Castilla-La Mancha		02		Albacete		0205		Roda, La
Salobre		49,53		Castilla-La Mancha		02		Albacete		0202		Alcaraz
San Pedro		83,12		Castilla-La Mancha		02		Albacete		0201		Albacete
Socovos		138,61		Castilla-La Mancha		02		Albacete		0204		Hellín
